,DepMap_ID
188868,ACH-000641
189036,ACH-000643
189665,ACH-000647
190339,ACH-000648
190958,ACH-000650
191581,ACH-000652
192207,ACH-000653
192880,ACH-000654
193547,ACH-000655
194219,ACH-000656
194860,ACH-000657
195492,ACH-000660
196106,ACH-000662
196738,ACH-000663
197369,ACH-000664
197749,ACH-000665
198381,ACH-000666
199055,ACH-000667
199671,ACH-000668
200301,ACH-000670
200924,ACH-000672
201580,ACH-000674
202209,ACH-000675
202611,ACH-000678
203155,ACH-000680
203781,ACH-000681
204420,ACH-000684
204910,ACH-000689
205155,ACH-000691
205818,ACH-000693
206442,ACH-000694
207116,ACH-000696
207747,ACH-000699
208273,ACH-000702
208937,ACH-000706
209589,ACH-000708
209769,ACH-000711
210352,ACH-000713
210714,ACH-000714
211197,ACH-000716
211825,ACH-000717
212452,ACH-000718
212985,ACH-000719
213494,ACH-000720
214118,ACH-000722
214797,ACH-000724
215344,ACH-000725
215670,ACH-000727
216062,ACH-000729
216487,ACH-000730
217086,ACH-000733
217640,ACH-000738
218313,ACH-000743
218781,ACH-000744
219414,ACH-000745
220077,ACH-000747
220593,ACH-000748
221155,ACH-000751
221819,ACH-000752
222448,ACH-000754
223121,ACH-000755
223693,ACH-000756
224353,ACH-000757
224956,ACH-000759
225484,ACH-000766
226050,ACH-000767
226711,ACH-000768
227341,ACH-000769
227971,ACH-000775
228598,ACH-000776
229268,ACH-000778
229891,ACH-000780
230276,ACH-000781
230898,ACH-000783
231529,ACH-000784
232154,ACH-000786
232824,ACH-000787
233495,ACH-000788
234065,ACH-000789
234695,ACH-000790
235368,ACH-000792
235990,ACH-000795
236582,ACH-000800
237253,ACH-000802
237859,ACH-000805
238484,ACH-000806
239150,ACH-000809
239753,ACH-000810
240273,ACH-000811
240898,ACH-000812
241415,ACH-000815
242082,ACH-000816
242753,ACH-000818
243269,ACH-000819
243893,ACH-000821
244557,ACH-000822
245177,ACH-000823
245767,ACH-000824
246344,ACH-000825
246914,ACH-000826
247447,ACH-000828
248071,ACH-000830
248644,ACH-000835
249265,ACH-000838
249925,ACH-000840
250353,ACH-000841
250984,ACH-000843
251616,ACH-000847
252218,ACH-000848
252843,ACH-000849
253476,ACH-000852
254100,ACH-000853
254724,ACH-000855
255243,ACH-000856
255871,ACH-000857
256501,ACH-000858
256998,ACH-000859
257633,ACH-000860
258252,ACH-000861
258916,ACH-000863
259541,ACH-000865
260161,ACH-000866
260785,ACH-000867
261311,ACH-000869
261943,ACH-000873
262568,ACH-000875
263091,ACH-000876
263709,ACH-000878
264336,ACH-000879
264968,ACH-000880
265558,ACH-000881
266183,ACH-000882
266784,ACH-000885
267411,ACH-000886
267926,ACH-000888
268550,ACH-000892
269182,ACH-000893
269816,ACH-000894
270442,ACH-000896
271068,ACH-000900
271735,ACH-000902
272125,ACH-000903
272718,ACH-000905
273343,ACH-000906
274013,ACH-000910
274643,ACH-000911
275266,ACH-000913
275889,ACH-000914
276452,ACH-000915
276977,ACH-000916
277492,ACH-000917
278075,ACH-000918
278737,ACH-000920
279201,ACH-000922
279601,ACH-000924
280124,ACH-000926
280729,ACH-000927
281410,ACH-000929
281942,ACH-000930
282553,ACH-000932
283216,ACH-000934
283844,ACH-000935
284496,ACH-000936
285098,ACH-000937
285760,ACH-000938
286430,ACH-000939
287085,ACH-000943
287756,ACH-000944
288378,ACH-000945
289009,ACH-000949
289557,ACH-000950
290180,ACH-000951
290690,ACH-000953
291357,ACH-000955
291936,ACH-000958
292545,ACH-000963
293179,ACH-000965
293799,ACH-000969
294470,ACH-000970
295059,ACH-000973
295690,ACH-000974
296313,ACH-000976
296940,ACH-000978
297570,ACH-000980
298242,ACH-000981
298915,ACH-000983
299588,ACH-000988
300217,ACH-000989
300631,ACH-000991
301195,ACH-000997
301818,ACH-000998
302486,ACH-000999
302868,ACH-001016
303539,ACH-001023
304062,ACH-001024
304687,ACH-001063
305266,ACH-001075
305796,ACH-001106
306434,ACH-001131
307100,ACH-001136
307487,ACH-001137
308120,ACH-001138
308794,ACH-001151
309417,ACH-001190
310088,ACH-001193
310747,ACH-001203
311413,ACH-001233
311869,ACH-001274
312524,ACH-001306
313157,ACH-001307
313776,ACH-001321
314295,ACH-001338
314691,ACH-001344
315364,ACH-001345
315988,ACH-001350
316612,ACH-001355
317186,ACH-001358
317770,ACH-001359
318396,ACH-001360
319017,ACH-001362
319589,ACH-001363
320231,ACH-001364
320883,ACH-001365
321436,ACH-001383
321938,ACH-001384
322562,ACH-001402
323182,ACH-001417
323805,ACH-001418
324293,ACH-001442
324867,ACH-001443
325497,ACH-001452
325676,ACH-001453
326300,ACH-001489
326594,ACH-001490
327075,ACH-001496
327664,ACH-001497
328201,ACH-001498
328845,ACH-001500
329426,ACH-001517
330059,ACH-001519
330715,ACH-001525
331336,ACH-001526
331967,ACH-001528
332594,ACH-001529
333160,ACH-001530
333688,ACH-001542
334213,ACH-001543
334717,ACH-001544
335307,ACH-001578
335696,ACH-001599
336154,ACH-001603
336796,ACH-001617
337112,ACH-001625
337637,ACH-001626
338263,ACH-001630
338849,ACH-001638
339470,ACH-001639
340038,ACH-001641
340630,ACH-001642
341125,ACH-001650
341745,ACH-001653
342198,ACH-001654
342784,ACH-001655
343412,ACH-001674
344092,ACH-001680
344757,ACH-001702
345426,ACH-001703
346068,ACH-001704
346538,ACH-001709
347176,ACH-001711
347736,ACH-001715
348362,ACH-001716
349026,ACH-001738
349683,ACH-001819
350367,ACH-001820
351036,ACH-001861
351597,ACH-002020
352222,ACH-002029
352847,ACH-002040
353462,ACH-002043
354089,ACH-002045
354604,ACH-002058
355270,ACH-002062
355944,ACH-002067
356611,ACH-002083
357241,ACH-002090
357812,ACH-002091
358438,ACH-002092
358919,ACH-002093
359399,ACH-002094
360027,ACH-002095
360340,ACH-002096
360863,ACH-002097
361505,ACH-002098
361528,ACH-002099
362123,ACH-002100
362664,ACH-002101
363145,ACH-002102
363730,ACH-002103
364286,ACH-002105
364956,ACH-002106
365585,ACH-002107
366256,ACH-002108
366928,ACH-002109
367595,ACH-002110
368268,ACH-002111
368892,ACH-002112
369112,ACH-002113
369755,ACH-002114
370402,ACH-002115
371068,ACH-002116
371592,ACH-002117
372257,ACH-002118
372921,ACH-002119
373553,ACH-002120
374220,ACH-002121
374819,ACH-002139
375460,ACH-002140
376038,ACH-002141
376595,ACH-002142
377220,ACH-002143
377784,ACH-002144
378349,ACH-002145
378985,ACH-002146
379474,ACH-002147
379956,ACH-002148
380615,ACH-002149
381175,ACH-002150
381746,ACH-002151
382319,ACH-002152
382885,ACH-002153
383455,ACH-002154
383966,ACH-002155
384610,ACH-002156
385185,ACH-002157
385751,ACH-002159
386336,ACH-002160
386857,ACH-002161
387450,ACH-002163
388115,ACH-002164
388691,ACH-002165
389260,ACH-002166
